club,name,age,position,club_involved,fee,transfer_movement,fee_cleaned,league,year
FC Alverca,CorreiaCorreia,21,Centre-Back,FC Porto,?,in,NA,primeira-liga,2000
FC Alverca,Ricardo EstevesR. Esteves,20,Right Midfield,Vitória Setúbal,?,in,NA,primeira-liga,2000
FC Alverca,ZeferinoZeferino,22,Centre-Forward,R. Madrid B,"End of loanDec 31, 2000",in,0,primeira-liga,2000
FC Alverca,ManúManú,17,Right Winger,Alverca U19,-,in,0,primeira-liga,2000
FC Alverca,Pedro NevesPedro Neves,18,Right-Back,Alverca U19,-,in,0,primeira-liga,2000
FC Alverca,Hugo SantosHugo Santos,22,Left Winger,Olivais,"End of loanJun 30, 2000",in,0,primeira-liga,2000
FC Alverca,CajúCajú,23,Forward,FC Porto,"End of loanJun 30, 2000",in,0,primeira-liga,2000
FC Alverca,Paulo CostaPaulo Costa,20,Attacking Midfield,Inter,Free Transfer,out,0,primeira-liga,2000
FC Alverca,Ricardo EstevesR. Esteves,21,Right Midfield,Benfica,?,out,NA,primeira-liga,2000
FC Alverca,Nuno AssisNuno Assis,22,Attacking Midfield,Gil Vicente,?,out,NA,primeira-liga,2000
FC Alverca,GasparGaspar,25,Centre-Back,Paços Ferreira,?,out,NA,primeira-liga,2000
FC Alverca,Hugo SantosHugo Santos,22,Left Winger,Olivais,Loan,out,0,primeira-liga,2000
FC Alverca,Sergey OvchinnikovS. Ovchinnikov,29,Goalkeeper,FC Porto,?,out,NA,primeira-liga,2000
FC Alverca,DudaDuda,26,Centre-Forward,Boavista,?,out,NA,primeira-liga,2000
FC Alverca,JamirJamir,28,Midfielder,Cor. Bolognesi,?,out,NA,primeira-liga,2000
FC Alverca,SousaSousa,22,Right-Back,Braga,?,out,NA,primeira-liga,2000
FC Alverca,AlhandraAlhandra,21,Left-Back,FC Porto,?,out,NA,primeira-liga,2000
FC Alverca,Vasili KulkovV. Kulkov,34,Centre-Back,Retired,-,out,0,primeira-liga,2000
FC Alverca,Rui BaiãoR. Baião,20,Attacking Midfield,Benfica,"End of loanDec 31, 2000",out,0,primeira-liga,2000
FC Alverca,LimaLima,33,Forward,Retired,-,out,0,primeira-liga,2000
FC Alverca,Abel SilvaAbel Silva,30,Right-Back,Retired,-,out,0,primeira-liga,2000
FC Alverca,Marco CaneiraM. Caneira,21,Centre-Back,Sporting CP,"End of loanJun 30, 2000",out,0,primeira-liga,2000
SC Farense,Toni LopesToni Lopes,20,Right-Back,Lusitano,Free Transfer,in,0,primeira-liga,2000
SC Farense,RubioRubio,24,Centre-Back,CD Toledo,Free Transfer,in,0,primeira-liga,2000
SC Farense,Rui MarcosRui Marcos,25,Goalkeeper,Nacional,?,in,NA,primeira-liga,2000
SC Farense,Pablo ZegarraP. Zegarra,27,Midfielder,UD Salamanca,?,in,NA,primeira-liga,2000
SC Farense,Ivan DjurdjevicI. Djurdjevic,23,Defensive Midfield,CD Ourense,?,in,NA,primeira-liga,2000
SC Farense,Fernando De Los RiosF. De Los Rios,24,Forward,Valladolid B,?,in,NA,primeira-liga,2000
SC Farense,Jean PaulistaJean Paulista,22,Centre-Forward,Desportivo Aves,?,in,NA,primeira-liga,2000
SC Farense,Bruno MestreB. Mestre,18,Left-Back,Farense U19,-,in,0,primeira-liga,2000
SC Farense,CandeiasCandeias,27,Goalkeeper,Famalicão,Free Transfer,out,0,primeira-liga,2000
SC Farense,Mouloud BeltitaneM. Beltitane,29,Goalkeeper,CD Roda,Free Transfer,out,0,primeira-liga,2000
SC Farense,Jean PaulistaJean Paulista,23,Centre-Forward,Imortal,Free Transfer,out,0,primeira-liga,2000
SC Farense,Marco LagartoM. Lagarto,NA,Attacking Midfield,Marítimo,Free Transfer,out,0,primeira-liga,2000
SC Farense,Bruno MestreB. Mestre,18,Left-Back,Esp. Lagos,Loan,out,0,primeira-liga,2000
SC Farense,EugénioEugénio,33,Right-Back,Olhanense,?,out,NA,primeira-liga,2000
SC Farense,Fernando De Los RiosF. De Los Rios,24,Forward,CD Castellón,?,out,NA,primeira-liga,2000
SC Farense,TulipaTulipa,27,Midfielder,CD Badajoz,?,out,NA,primeira-liga,2000
SC Farense,Darko ButorovicD. Butorovic,29,Right-Back,Hajduk Split,?,out,NA,primeira-liga,2000
SC Farense,Ricardo Gabriel LunariR. Gabriel Lunari,30,Midfielder,Club Almagro de Buenos Aires,?,out,NA,primeira-liga,2000
SC Farense,Zé TóZé Tó,25,Attacking Midfield,UD Salamanca,?,out,NA,primeira-liga,2000
SC Farense,Pedro MiguelPedro Miguel,32,Defender,Retired,-,out,0,primeira-liga,2000
SC Farense,Redouane HajryR. Hajry,36,Attacking Midfield,Retired,-,out,0,primeira-liga,2000
SC Farense,Lucian MarinescuL. Marinescu,28,Attacking Midfield,UD Salamanca,"End of loanJun 30, 2000",out,0,primeira-liga,2000
Gil Vicente FC,Nuno AmaroNuno Amaro,24,Left-Back,Marco,?,in,NA,primeira-liga,2000
Gil Vicente FC,Paulo CésarPaulo César,20,Right Winger,Villa Nova AC,?,in,NA,primeira-liga,2000
Gil Vicente FC,Vargas FernandesVargas Fernandes,22,Left Midfield,Sporting Praia,?,in,NA,primeira-liga,2000
Gil Vicente FC,Nuno AssisNuno Assis,22,Attacking Midfield,Alverca,?,in,NA,primeira-liga,2000
Gil Vicente FC,PinheiroPinheiro,23,Attacking Midfield,Dragões,?,in,NA,primeira-liga,2000
Gil Vicente FC,Ivo AfonsoIvo Afonso,24,Centre-Back,Canelas 2010,?,in,NA,primeira-liga,2000
Gil Vicente FC,Sérgio GameiroSérgio Gameiro,24,Attacking Midfield,Santa Clara,?,in,NA,primeira-liga,2000
Gil Vicente FC,Miguel SimaoMiguel Simao,27,Forward,Sanf. Hiroshima,?,in,NA,primeira-liga,2000
Gil Vicente FC,AdrianoAdriano,22,Goalkeeper,Leixões,-,in,0,primeira-liga,2000
Gil Vicente FC,GugaGuga,23,Right Winger,Belenenses,Free Transfer,out,0,primeira-liga,2000
Gil Vicente FC,FangueiroFangueiro,23,Right Winger,Vit. Guimarães,Free Transfer,out,0,primeira-liga,2000
Gil Vicente FC,Zé NandoZé Nando,24,Left-Back,Paços Ferreira,?,out,NA,primeira-liga,2000
Gil Vicente FC,PetitPetit,23,Defensive Midfield,Boavista,?,out,NA,primeira-liga,2000
Gil Vicente FC,AuriAuri,26,Centre-Back,Vit. Guimarães,?,out,NA,primeira-liga,2000
Gil Vicente FC,CarlitosCarlitos,23,Right Winger,Benfica,?,out,NA,primeira-liga,2000
Gil Vicente FC,Ricardo NascimentoRicardo Nascimento,26,Attacking Midfield,Montpellier,?,out,NA,primeira-liga,2000
Gil Vicente FC,MarquinhosMarquinhos,26,Midfielder,Chaves,?,out,NA,primeira-liga,2000
Gil Vicente FC,Pedro SantosP. Santos,24,Central Midfield,Boavista,?,out,NA,primeira-liga,2000
Gil Vicente FC,Paulo LopesP. Lopes,22,Goalkeeper,Barreirense,?,out,NA,primeira-liga,2000
Gil Vicente FC,Peter RufaiP. Rufai,36,Goalkeeper,Retired,-,out,0,primeira-liga,2000
Vitória Guimarães SC,FangueiroFangueiro,23,Right Winger,Gil Vicente,Free Transfer,in,0,primeira-liga,2000
Vitória Guimarães SC,Romano SionR. Sion,29,Midfielder,SD Compostela,?,in,NA,primeira-liga,2000
Vitória Guimarães SC,Cândido RegoCândido Rego,29,Goalkeeper,Desportivo Aves,?,in,NA,primeira-liga,2000
Vitória Guimarães SC,WilliamWilliam,32,Centre-Back,SD Compostela,?,in,NA,primeira-liga,2000
Vitória Guimarães SC,Abel FerreiraAbel Ferreira,21,Right-Back,Penafiel,?,in,NA,primeira-liga,2000
Vitória Guimarães SC,AuriAuri,26,Centre-Back,Gil Vicente,?,in,NA,primeira-liga,2000
Vitória Guimarães SC,Edwin CongoE. Congo,23,Centre-Forward,Real Madrid,Loan,in,0,primeira-liga,2000
Vitória Guimarães SC,Rogério MatiasR. Matias,25,Left-Back,Campomaiorense,?,in,NA,primeira-liga,2000
Vitória Guimarães SC,ManoelManoel,22,Centre-Forward,EC Vitória,?,in,NA,primeira-liga,2000
Vitória Guimarães SC,Marco CoutoMarco Couto,25,Centre-Back,Chaves,?,in,NA,primeira-liga,2000
Vitória Guimarães SC,EvandoEvando,23,Centre-Forward,EC Vitória,"End of loanJun 30, 2000",in,0,primeira-liga,2000
Vitória Guimarães SC,Fernando MeiraF. Meira,22,Centre-Back,Benfica,£3.60m,out,3.6,primeira-liga,2000
Vitória Guimarães SC,PaivaPaiva,27,Defensive Midfield,Santa Clara,?,out,NA,primeira-liga,2000
Vitória Guimarães SC,KipuloKipulo,18,Centre-Back,Moreirense,?,out,NA,primeira-liga,2000
Vitória Guimarães SC,Preto CasagrandePreto Casagrande,25,Midfielder,EC Bahia,?,out,NA,primeira-liga,2000
Vitória Guimarães SC,Cândido RegoCândido Rego,29,Goalkeeper,Imortal,?,out,NA,primeira-liga,2000
Vitória Guimarães SC,Bruno TiagoBruno Tiago,19,Central Midfield,UD Salamanca,?,out,NA,primeira-liga,2000
Vitória Guimarães SC,TitoTito,28,Left-Back,Alverca,?,out,NA,primeira-liga,2000
Vitória Guimarães SC,Pedro EspinhaPedro Espinha,34,Goalkeeper,FC Porto,?,out,NA,primeira-liga,2000
Vitória Guimarães SC,Nuno ClaroNuno Claro,23,Goalkeeper,Trofense,?,out,NA,primeira-liga,2000
Vitória Guimarães SC,Paulo FonsecaP. Fonseca,27,Centre-Back,Estrela Amadora,?,out,NA,primeira-liga,2000
Vitória Guimarães SC,EdmilsonEdmilson,32,Forward,Braga,?,out,NA,primeira-liga,2000
Vitória Guimarães SC,João CostaJoão Costa,27,Defensive Midfield,Vitória Setúbal,?,out,NA,primeira-liga,2000
SC Campomaiorense,Sreto RisticS. Ristic,24,Centre-Forward,VfB Stuttgart,Free Transfer,in,0,primeira-liga,2000
SC Campomaiorense,Srgjan ZaharievskiS. Zaharievski,26,Central Midfield,VfB Stuttgart,Free Transfer,in,0,primeira-liga,2000
SC Campomaiorense,Nuno GomesN. Gomes,22,Centre-Back,Felgueiras,Free Transfer,in,0,primeira-liga,2000
SC Campomaiorense,Philippe De AzevedoPhilippe De Azevedo,25,Centre-Forward,Loko Moscow,Free Transfer,in,0,primeira-liga,2000
SC Campomaiorense,PatacasPatacas,22,Right-Back,Sporting CP,Loan,in,0,primeira-liga,2000
SC Campomaiorense,Miguel VazM. Vaz,27,Defensive Midfield,Covilhã,?,in,NA,primeira-liga,2000
SC Campomaiorense,Paulo VidaPaulo Vida,29,Centre-Forward,Paços Ferreira,?,in,NA,primeira-liga,2000
SC Campomaiorense,DukaDuka,27,Centre-Back,Espinho,?,in,NA,primeira-liga,2000
SC Campomaiorense,Marco AlmeidaMarco Almeida,23,Centre-Back,Southampton,?,in,NA,primeira-liga,2000
SC Campomaiorense,DetinhoDetinho,26,Centre-Forward,Marco,?,in,NA,primeira-liga,2000
SC Campomaiorense,Philippe De AzevedoPhilippe De Azevedo,25,Centre-Forward,Penafiel,Free Transfer,out,0,primeira-liga,2000
SC Campomaiorense,Sreto RisticS. Ristic,24,Centre-Forward,SSV Ulm 1846,Free Transfer,out,0,primeira-liga,2000
SC Campomaiorense,José SoaresJosé Soares,24,Centre-Back,Desportivo Aves,?,out,NA,primeira-liga,2000
SC Campomaiorense,Rogério MatiasR. Matias,25,Left-Back,Vit. Guimarães,?,out,NA,primeira-liga,2000
SC Campomaiorense,ArleyArley,28,Defender,América-MG,?,out,NA,primeira-liga,2000
SC Campomaiorense,Marco SilvaM. Silva,22,Right-Back,Trofense,?,out,NA,primeira-liga,2000
Desportivo Aves,JosivanJosivan,21,Forward,FC Porto,?,in,NA,primeira-liga,2000
Desportivo Aves,José SoaresJosé Soares,24,Centre-Back,Campomaiorense,?,in,NA,primeira-liga,2000
Desportivo Aves,Nuno AfonsoNuno Afonso,25,Centre-Back,Marítimo,?,in,NA,primeira-liga,2000
Desportivo Aves,Rui LimaRui Lima,22,Attacking Midfield,Boavista,Loan,in,0,primeira-liga,2000
Desportivo Aves,NíltonNílton,21,Central Midfield,Boavista,?,in,NA,primeira-liga,2000
Desportivo Aves,QuinzinhoQuinzinho,26,Forward,Rayo Vallecano,?,in,NA,primeira-liga,2000
Desportivo Aves,Tó LuisTó Luis,32,Goalkeeper,Rio Ave FC,?,in,NA,primeira-liga,2000
Desportivo Aves,DoualaDouala,21,Left Winger,Boavista,Loan,in,0,primeira-liga,2000
Desportivo Aves,Michel PenséeM. Pensée,27,Centre-Back,Seongnam FC,?,in,NA,primeira-liga,2000
Desportivo Aves,Adamo Ramos MartinsA. Ramos Martins,29,Goalkeeper,Moreirense,?,in,NA,primeira-liga,2000
Desportivo Aves,Rui FariaRui Faria,19,Goalkeeper,GD Serzedelo,Loan,out,0,primeira-liga,2000
Desportivo Aves,Jean PaulistaJean Paulista,22,Centre-Forward,Farense,?,out,NA,primeira-liga,2000
Desportivo Aves,Quim MachadoQuim Machado,33,Right-Back,Tirsense,?,out,NA,primeira-liga,2000
Desportivo Aves,Paulo AlexandrePaulo Alexandre,30,Defender,Chaves,?,out,NA,primeira-liga,2000
Desportivo Aves,Ermin RakovicE. Rakovic,22,Right Winger,NK Olimpija,?,out,NA,primeira-liga,2000
Desportivo Aves,Cândido RegoCândido Rego,29,Goalkeeper,Vit. Guimarães,?,out,NA,primeira-liga,2000
Desportivo Aves,João PauloJoão Paulo,20,Centre-Forward,Boavista,"End of loanJun 30, 2000",out,0,primeira-liga,2000
CF Estrela Amadora,António SemedoA. Semedo,21,Right Winger,Casa Pia,?,in,NA,primeira-liga,2000
CF Estrela Amadora,Igor SouzaIgor Souza,21,Attacking Midfield,Central,?,in,NA,primeira-liga,2000
CF Estrela Amadora,Paulo FonsecaP. Fonseca,27,Centre-Back,Vit. Guimarães,?,in,NA,primeira-liga,2000
CF Estrela Amadora,Luís CarlosLuís Carlos,27,Attacking Midfield,Benfica,?,in,NA,primeira-liga,2000
CF Estrela Amadora,Jorge CadeteJ. Cadete,31,Centre-Forward,Bradford City,?,in,NA,primeira-liga,2000
CF Estrela Amadora,Tiago LemosT. Lemos,22,Central Midfield,Estoril,?,in,NA,primeira-liga,2000
CF Estrela Amadora,Pedro DuarteP. Duarte,28,Goalkeeper,Sporting Pombal,Free Transfer,out,0,primeira-liga,2000
CF Estrela Amadora,MiguelMiguel,20,Right-Back,Benfica,Free Transfer,out,0,primeira-liga,2000
CF Estrela Amadora,Sérgio MarquêsS. Marquês,24,Defensive Midfield,Imortal,?,out,NA,primeira-liga,2000
CF Estrela Amadora,Hugo ÉvoraHugo Évora,18,Centre-Back,Samora Correia,Loan,out,0,primeira-liga,2000
CF Estrela Amadora,José LealJ. Leal,35,Left-Back,Santa Clara,?,out,NA,primeira-liga,2000
CF Estrela Amadora,VeronaVerona,26,Attacking Midfield,Belenenses,?,out,NA,primeira-liga,2000
CF Estrela Amadora,Jorge AndradeJ. Andrade,22,Centre-Back,FC Porto,?,out,NA,primeira-liga,2000
CF Estrela Amadora,Leonson LewisL. Lewis,33,Forward,União Lamas,?,out,NA,primeira-liga,2000
Sporting CP,Marius NiculaeM. Niculae,20,Centre-Forward,Dinamo Bukarest,£4.77m,in,4.77,primeira-liga,2001
Sporting CP,JardelJardel,27,Centre-Forward,Galatasaray,£4.05m,in,4.05,primeira-liga,2001
Sporting CP,Dimitrios NalitzisD. Nalitzis,25,Centre-Forward,Udinese,Loan fee:£225k,in,0.225,primeira-liga,2001
Sporting CP,DiogoDiogo,25,Defensive Midfield,Alverca,?,in,NA,primeira-liga,2001
Sporting CP,Luís FilipeLuís Filipe,22,Right-Back,Braga,?,in,NA,primeira-liga,2001
Sporting CP,Facundo QuirogaF. Quiroga,23,Centre-Back,SSC Napoli,"End of loanJul 1, 2001",in,0,primeira-liga,2001
Sporting CP,BetoBeto,19,Goalkeeper,Sporting B,-,in,0,primeira-liga,2001
Sporting CP,Chiquinho DelgadoChiquinho Delgado,21,Centre-Forward,Campomaiorense,"End of loanDec 31, 2001",in,0,primeira-liga,2001
Sporting CP,Hugo VianaH. Viana,18,Central Midfield,Sporting B,-,in,0,primeira-liga,2001
Sporting CP,CustódioCustódio,18,Defensive Midfield,Sporting U19,-,in,0,primeira-liga,2001
Sporting CP,Ricardo QuaresmaR. Quaresma,17,Right Winger,Sporting B,-,in,0,primeira-liga,2001
Sporting CP,RodolfoRodolfo,20,Defender,Sporting B,-,in,0,primeira-liga,2001
Sporting CP,ValdirValdir,18,Left-Back,Sporting U19,-,in,0,primeira-liga,2001
Sporting CP,TiagoTiago,26,Goalkeeper,Estrela Amadora,"End of loanJun 30, 2001",in,0,primeira-liga,2001
Sporting CP,DelfimDelfim,24,Central Midfield,Marseille,£4.50m,out,4.5,primeira-liga,2001
Sporting CP,Rodrigo FabriR. Fabri,25,Central Midfield,Grêmio,£675k,out,0.675,primeira-liga,2001
Sporting CP,Mbo MpenzaM. Mpenza,24,Centre-Forward,Galatasaray,Swap deal,out,NA,primeira-liga,2001
Sporting CP,Jovan KirovskiJ. Kirovski,25,Right Winger,Crystal Palace,Free Transfer,out,0,primeira-liga,2001
Sporting CP,ToñitoToñito,24,Right Midfield,Santa Clara,Loan,out,0,primeira-liga,2001
Sporting CP,Chiquinho DelgadoChiquinho Delgado,20,Centre-Forward,Campomaiorense,Loan,out,0,primeira-liga,2001
Sporting CP,Peter SchmeichelP. Schmeichel,37,Goalkeeper,Aston Villa,Free Transfer,out,0,primeira-liga,2001
Sporting CP,Houssine KharjaH. Kharja,18,Central Midfield,Ternana,Free Transfer,out,0,primeira-liga,2001
Sporting CP,Quim BertoQuim Berto,29,Defender,Benfica,Free Transfer,out,0,primeira-liga,2001
Sporting CP,Jorge BrítezJ. Brítez,20,Defensive Midfield,Libertad,?,out,NA,primeira-liga,2001
Sporting CP,VargasVargas,22,Right Winger,Alverca,?,out,NA,primeira-liga,2001
Sporting CP,Nuno SantosNuno Santos,23,Goalkeeper,Estrela Amadora,Loan,out,0,primeira-liga,2001
Sporting CP,BinoBino,28,Defensive Midfield,CD Tenerife,?,out,NA,primeira-liga,2001
Sporting CP,Robert SpeharR. Spehar,31,Centre-Forward,Galatasaray,?,out,NA,primeira-liga,2001
Sporting CP,Beto AcostaBeto Acosta,34,Centre-Forward,San Lorenzo,?,out,NA,primeira-liga,2001
Sporting CP,Pavel HorvathP. Horvath,26,Defensive Midfield,Galatasaray,?,out,NA,primeira-liga,2001
Sporting CP,Bruno SousaBruno Sousa,19,Centre-Back,Felgueiras,?,out,NA,primeira-liga,2001
Sporting CP,Márcio RamosM. Ramos,20,Goalkeeper,Vizela,?,out,NA,primeira-liga,2001
Sporting CP,DimasDimas,32,Left-Back,Marseille,Loan,out,0,primeira-liga,2001
Sporting CP,RodolfoRodolfo,20,Defender,Sporting Pombal,?,out,NA,primeira-liga,2001
Sporting CP,Hélder RosárioH. Rosário,21,Centre-Back,Maia,?,out,NA,primeira-liga,2001
Sporting CP,EdmílsonEdmílson,29,Second Striker,Palmeiras,?,out,NA,primeira-liga,2001
Sporting CP,CucoCuco,19,Central Midfield,Maia,"End of loanJul 1, 2001",out,0,primeira-liga,2001
Sporting CP,Ivaylo YordanovI. Yordanov,33,Attacking Midfield,Retired,-,out,0,primeira-liga,2001
Sporting CP,Mario CáceresM. Cáceres,20,Centre-Forward,Colo Colo,"End of loanJun 30, 2001",out,0,primeira-liga,2001
Boavista Porto FC,GlauberGlauber,26,Defensive Midfield,Paços Ferreira,Free Transfer,in,0,primeira-liga,2001
Boavista Porto FC,Márcio SantosMárcio Santos,26,Centre-Forward,Galatasaray,Free Transfer,in,0,primeira-liga,2001
Boavista Porto FC,PedrosaPedrosa,29,Midfielder,Salgueiros,?,in,NA,primeira-liga,2001
Boavista Porto FC,Alexandre GoulartA. Goulart,24,Attacking Midfield,Ipatinga FC,?,in,NA,primeira-liga,2001
Boavista Porto FC,TurraTurra,27,Centre-Back,Palmeiras,?,in,NA,primeira-liga,2001
Boavista Porto FC,Serginho BaianoSerginho Baiano,23,Left Winger,Corinthians,?,in,NA,primeira-liga,2001
Boavista Porto FC,Mário LojaM. Loja,23,Left-Back,Vitória Setúbal,?,in,NA,primeira-liga,2001
Boavista Porto FC,ÁvalosÁvalos,23,Centre-Back,Corinthians,?,in,NA,primeira-liga,2001
Boavista Porto FC,Raúl MeirelesR. Meireles,18,Central Midfield,Boavista U19,-,in,0,primeira-liga,2001
Boavista Porto FC,DoualaDouala,22,Left Winger,Desportivo Aves,"End of loanJun 30, 2001",in,0,primeira-liga,2001
Boavista Porto FC,João PauloJoão Paulo,21,Centre-Forward,Vitória Setúbal,"End of loanJun 30, 2001",in,0,primeira-liga,2001
Boavista Porto FC,BosingwaBosingwa,18,Right-Back,Freamunde,"End of loanJun 30, 2001",in,0,primeira-liga,2001
Boavista Porto FC,Rui LimaRui Lima,23,Attacking Midfield,Desportivo Aves,"End of loanJun 30, 2001",in,0,primeira-liga,2001
Boavista Porto FC,DemétriosDemétrios,30,Centre-Forward,Beira-Mar,Free Transfer,out,0,primeira-liga,2001
Boavista Porto FC,Raúl MeirelesR. Meireles,18,Central Midfield,Desportivo Aves,Loan,out,0,primeira-liga,2001
Boavista Porto FC,MarçalMarçal,26,Defender,Vitória Setúbal,Free Transfer,out,0,primeira-liga,2001
Boavista Porto FC,WhellitonWhelliton,28,Forward,Córdoba CF,12 mill €,out,NA,primeira-liga,2001
Boavista Porto FC,Filipe GouveiaF. Gouveia,28,Left Midfield,Paços Ferreira,?,out,NA,primeira-liga,2001
Boavista Porto FC,LitosLitos,27,Centre-Back,Málaga CF,?,out,NA,primeira-liga,2001
Boavista Porto FC,RogerioRogerio,26,Left Midfield,Sport Recife,?,out,NA,primeira-liga,2001
Boavista Porto FC,William QuevedoW. Quevedo,30,Defender,FC Sochaux,?,out,NA,primeira-liga,2001
Boavista Porto FC,Almami MoreiraA. Moreira,23,Attacking Midfield,Standard Liège,?,out,NA,primeira-liga,2001
Boavista Porto FC,Sérgio CarvalhoS. Carvalho,24,Centre-Back,Varzim,?,out,NA,primeira-liga,2001
Boavista Porto FC,GeraldoGeraldo,29,Central Midfield,Beira-Mar,?,out,NA,primeira-liga,2001
Boavista Porto FC,DoualaDouala,22,Left Winger,Gil Vicente,Loan,out,0,primeira-liga,2001
FC Porto,Hugo IbarraH. Ibarra,27,Right-Back,Boca Juniors,£7.02m,in,7.02,primeira-liga,2001
FC Porto,Silvio MaricS. Maric,26,Attacking Midfield,Newcastle,£270k,in,0.27,primeira-liga,2001
FC Porto,Paulo CostaPaulo Costa,21,Attacking Midfield,Reggina,Free Transfer,in,0,primeira-liga,2001
FC Porto,Paulo SantosP. Santos,28,Goalkeeper,Alverca,Free Transfer,in,0,primeira-liga,2001
FC Porto,André MacangaA. Macanga,23,Defensive Midfield,Alverca,Free Transfer,in,0,primeira-liga,2001
FC Porto,Benni McCarthyB. McCarthy,24,Centre-Forward,Celta de Vigo,Loan,in,0,primeira-liga,2001
FC Porto,Víctor QuintanaV. Quintana,25,Defensive Midfield,Olimpia,?,in,NA,primeira-liga,2001
FC Porto,SousaSousa,23,Right-Back,Braga,?,in,NA,primeira-liga,2001
FC Porto,Juan EsnáiderJ. Esnáider,28,Centre-Forward,Real Zaragoza,?,in,NA,primeira-liga,2001
FC Porto,Iván Moreno y FabianesiI. Moreno y Fabianesi,22,Right Midfield,CA Rosario,?,in,NA,primeira-liga,2001
FC Porto,CostinhaCostinha,26,Defensive Midfield,Monaco,?,in,NA,primeira-liga,2001
FC Porto,Fredrick SöderströmF. Söderström,28,Central Midfield,Vit. Guimarães,?,in,NA,primeira-liga,2001
FC Porto,Iván KaviedesI. Kaviedes,24,Centre-Forward,Celta de Vigo,Loan,in,0,primeira-liga,2001
FC Porto,Mário SilvaMário Silva,24,Left-Back,FC Nantes,?,in,NA,primeira-liga,2001
FC Porto,RafaelRafael,27,Attacking Midfield,Paços Ferreira,?,in,NA,primeira-liga,2001
FC Porto,Manuel JoséManuel José,20,Right Winger,União Lamas,"End of loanDec 31, 2001",in,0,primeira-liga,2001
FC Porto,Ricardo CostaR. Costa,20,Centre-Back,Porto B,-,in,0,primeira-liga,2001
FC Porto,Hélder PostigaH. Postiga,18,Centre-Forward,FC Porto U19,-,in,0,primeira-liga,2001
FC Porto,Rubens JúniorRubens Júnior,26,Left-Back,Atlético-PR,"End of loanDec 31, 2001",in,0,primeira-liga,2001
FC Porto,Bruno ValeB. Vale,18,Goalkeeper,FC Porto U19,-,in,0,primeira-liga,2001
FC Porto,Alessandro CambalhotaAlessandro Cambalhota,28,Right Winger,Cruzeiro,"End of loanJun 30, 2001",in,0,primeira-liga,2001
FC Porto,Marco AlmeidaMarco Almeida,22,Midfielder,Leça,"End of loanJun 30, 2001",in,0,primeira-liga,2001
FC Porto,Ricardo CarvalhoR. Carvalho,23,Centre-Back,Alverca,"End of loanJun 30, 2001",in,0,primeira-liga,2001
FC Porto,Miklós FehérM. Fehér,21,Centre-Forward,Braga,"End of loanJun 1, 2001",in,0,primeira-liga,2001
FC Porto,João Manuel PintoJ. Pinto,28,Centre-Back,Benfica,Free Transfer,out,0,primeira-liga,2001
FC Porto,Manuel JoséManuel José,20,Right Winger,União Lamas,Loan,out,0,primeira-liga,2001
FC Porto,André MacangaA. Macanga,23,Defensive Midfield,Vit. Guimarães,Free Transfer,out,0,primeira-liga,2001
